Date,Academic_Break,Closed,Fully_Open,Partially_Open,Total
2020-02-16,0,1,207,2,210
2020-02-17,0,1,207,2,210
2020-02-18,0,1,207,2,210
2020-02-19,0,1,207,2,210
2020-02-20,0,1,207,2,210
2020-02-21,0,2,207,1,210
2020-02-22,0,2,207,1,210
2020-02-23,0,2,207,1,210
2020-02-24,0,3,205,2,210
2020-02-25,0,3,205,2,210
2020-02-26,0,5,203,2,210
2020-02-27,0,5,202,3,210
2020-02-28,0,5,198,7,210
2020-02-29,0,5,198,7,210
2020-03-01,0,6,197,7,210
2020-03-02,1,11,191,7,210
2020-03-03,1,12,187,10,210
2020-03-04,1,12,186,11,210
2020-03-05,1,12,183,14,210
2020-03-06,1,12,181,16,210
2020-03-07,2,13,181,14,210
2020-03-08,3,13,179,15,210
2020-03-09,4,13,178,15,210
2020-03-10,4,16,175,15,210
2020-03-11,4,25,164,17,210
2020-03-12,4,35,153,18,210
2020-03-13,4,44,143,19,210
2020-03-14,5,48,140,17,210
2020-03-15,4,52,136,18,210
2020-03-16,7,109,82,12,210
2020-03-17,6,115,77,12,210
2020-03-18,7,124,67,12,210
2020-03-19,8,135,55,12,210
2020-03-20,10,146,43,11,210
2020-03-21,13,145,41,11,210
2020-03-22,13,145,41,11,210
2020-03-23,18,156,25,11,210
2020-03-24,18,161,19,12,210
2020-03-25,19,165,18,8,210
2020-03-26,20,167,15,8,210
2020-03-27,24,165,13,8,210
2020-03-28,26,163,12,9,210
2020-03-29,27,162,12,9,210
2020-03-30,28,167,6,9,210
2020-03-31,27,170,6,7,210
2020-04-01,25,173,5,7,210
2020-04-02,25,173,5,7,210
2020-04-03,29,168,6,7,210
2020-04-04,39,158,6,7,210
2020-04-05,41,156,6,7,210
2020-04-06,57,139,6,8,210
2020-04-07,57,139,6,8,210
2020-04-08,61,136,5,8,210
2020-04-09,75,124,5,6,210
2020-04-10,82,118,4,6,210
2020-04-11,82,118,4,6,210
2020-04-12,82,118,4,6,210
2020-04-13,81,117,5,7,210
2020-04-14,68,127,7,8,210
2020-04-15,57,136,7,10,210
2020-04-16,55,137,7,11,210
2020-04-17,55,137,7,11,210
2020-04-18,44,148,7,11,210
2020-04-19,41,150,8,11,210
2020-04-20,36,151,10,13,210
2020-04-21,26,161,11,12,210
2020-04-22,22,163,11,14,210
2020-04-23,20,165,11,14,210
2020-04-24,19,166,11,14,210
2020-04-25,20,165,11,14,210
2020-04-26,20,165,11,14,210
2020-04-27,18,163,12,17,210
2020-04-28,18,163,12,17,210
2020-04-29,17,163,12,18,210
2020-04-30,17,163,12,18,210
2020-05-01,21,159,12,18,210
2020-05-02,21,160,11,18,210
2020-05-03,21,159,11,19,210
2020-05-04,18,157,14,21,210
2020-05-05,14,160,14,22,210
2020-05-06,13,161,14,22,210
2020-05-07,14,160,14,22,210
2020-05-08,16,158,14,22,210
2020-05-09,17,157,14,22,210
2020-05-10,17,157,14,22,210
2020-05-11,15,148,17,30,210
2020-05-12,14,149,17,30,210
2020-05-13,14,148,17,31,210
2020-05-14,13,149,17,31,210
2020-05-15,16,145,19,30,210
2020-05-16,17,145,18,30,210
2020-05-17,17,145,19,29,210
2020-05-18,17,134,24,35,210
2020-05-19,17,134,24,35,210
2020-05-20,17,133,24,36,210
2020-05-21,17,133,25,35,210
2020-05-22,17,133,25,35,210
2020-05-23,17,133,25,35,210
2020-05-24,17,133,25,35,210
2020-05-25,17,129,29,35,210
2020-05-26,17,128,30,35,210
2020-05-27,17,128,31,34,210
2020-05-28,17,128,31,34,210
2020-05-29,17,128,31,34,210
2020-05-30,17,128,31,34,210
2020-05-31,24,124,28,34,210
2020-06-01,28,114,32,36,210
2020-06-02,27,108,34,41,210
2020-06-03,27,107,36,40,210
2020-06-04,27,107,36,40,210
2020-06-05,27,107,37,39,210
2020-06-06,27,107,37,39,210
2020-06-07,27,107,37,39,210
2020-06-08,27,104,37,42,210
2020-06-09,27,103,38,42,210
2020-06-10,27,103,38,42,210
2020-06-11,29,100,38,43,210
2020-06-12,28,101,38,43,210
2020-06-13,29,100,38,43,210
2020-06-14,29,100,38,43,210
2020-06-15,30,95,40,45,210
2020-06-16,30,96,40,44,210
2020-06-17,31,95,40,44,210
2020-06-18,32,95,39,44,210
2020-06-19,32,95,39,44,210
2020-06-20,35,94,39,42,210
2020-06-21,35,94,39,42,210
2020-06-22,34,94,39,43,210
